,title,description,search_term_tf_idf,search_term_bert
2,Lives of Girls and Women,"<b>The only novel from bestselling author Alice Munro, winner of the Nobel Prize in Literature</b>
<b>
</b>Catching frogs, grazing knees, singing songs to save England from Hitler - that was childhood for Del Jordan, and now she's impatient for more. 

More than she can find in the encyclopedias sold by her mother, or in the half-understood innuendos dispensed by best friend Naomi, or in the whispers of boys during Friday night dances. 
  
 Just like the girls in the movies, she wants to get started on real life.
  
 In her only novel, Alice Munro turns her eye to the frustrations, embarrassments, glee and bewilderment of adolescence, and to the brushes with sex, death, violence and birth that shape the lives of girls and women.

<b>'I am the perfect audience for her brand of quiet, seething feminism'
Lena Dunham</b>
<b>
</b><b>'Superb'</b>
<b><i>Independent</i></b>
<b><i>
</i></b><b>'In Munro's work, nothing can be predicted. Emotions erupt. Preconceptions crumble. Surprises proliferate'</b>
<b>Margaret Atwood</b>
<b>
</b><b>'Exact and unflinching'</b>
<b><i>Guardian </i></b>
<b><i>
</i></b><b>'She is one of the handful of writers, some living, most dead, whom I have in mind when I say that fiction is my religion'</b>
<b>Jonathan Franzen</b>",munro,book fiction
2,Lives of Girls and Women,"<b>The only novel from bestselling author Alice Munro, winner of the Nobel Prize in Literature</b>
<b>
</b>Catching frogs, grazing knees, singing songs to save England from Hitler - that was childhood for Del Jordan, and now she's impatient for more. 

More than she can find in the encyclopedias sold by her mother, or in the half-understood innuendos dispensed by best friend Naomi, or in the whispers of boys during Friday night dances. 
  
 Just like the girls in the movies, she wants to get started on real life.
  
 In her only novel, Alice Munro turns her eye to the frustrations, embarrassments, glee and bewilderment of adolescence, and to the brushes with sex, death, violence and birth that shape the lives of girls and women.

<b>'I am the perfect audience for her brand of quiet, seething feminism'
Lena Dunham</b>
<b>
</b><b>'Superb'</b>
<b><i>Independent</i></b>
<b><i>
</i></b><b>'In Munro's work, nothing can be predicted. Emotions erupt. Preconceptions crumble. Surprises proliferate'</b>
<b>Margaret Atwood</b>
<b>
</b><b>'Exact and unflinching'</b>
<b><i>Guardian </i></b>
<b><i>
</i></b><b>'She is one of the handful of writers, some living, most dead, whom I have in mind when I say that fiction is my religion'</b>
<b>Jonathan Franzen</b>",orr munro,nonfiction book
2,Lives of Girls and Women,"<b>The only novel from bestselling author Alice Munro, winner of the Nobel Prize in Literature</b>
<b>
</b>Catching frogs, grazing knees, singing songs to save England from Hitler - that was childhood for Del Jordan, and now she's impatient for more. 

More than she can find in the encyclopedias sold by her mother, or in the half-understood innuendos dispensed by best friend Naomi, or in the whispers of boys during Friday night dances. 
  
 Just like the girls in the movies, she wants to get started on real life.
  
 In her only novel, Alice Munro turns her eye to the frustrations, embarrassments, glee and bewilderment of adolescence, and to the brushes with sex, death, violence and birth that shape the lives of girls and women.

<b>'I am the perfect audience for her brand of quiet, seething feminism'
Lena Dunham</b>
<b>
</b><b>'Superb'</b>
<b><i>Independent</i></b>
<b><i>
</i></b><b>'In Munro's work, nothing can be predicted. Emotions erupt. Preconceptions crumble. Surprises proliferate'</b>
<b>Margaret Atwood</b>
<b>
</b><b>'Exact and unflinching'</b>
<b><i>Guardian </i></b>
<b><i>
</i></b><b>'She is one of the handful of writers, some living, most dead, whom I have in mind when I say that fiction is my religion'</b>
<b>Jonathan Franzen</b>",hp munro,fiction book
2,Lives of Girls and Women,"<b>The only novel from bestselling author Alice Munro, winner of the Nobel Prize in Literature</b>
<b>
</b>Catching frogs, grazing knees, singing songs to save England from Hitler - that was childhood for Del Jordan, and now she's impatient for more. 

More than she can find in the encyclopedias sold by her mother, or in the half-understood innuendos dispensed by best friend Naomi, or in the whispers of boys during Friday night dances. 
  
 Just like the girls in the movies, she wants to get started on real life.
  
 In her only novel, Alice Munro turns her eye to the frustrations, embarrassments, glee and bewilderment of adolescence, and to the brushes with sex, death, violence and birth that shape the lives of girls and women.

<b>'I am the perfect audience for her brand of quiet, seething feminism'
Lena Dunham</b>
<b>
</b><b>'Superb'</b>
<b><i>Independent</i></b>
<b><i>
</i></b><b>'In Munro's work, nothing can be predicted. Emotions erupt. Preconceptions crumble. Surprises proliferate'</b>
<b>Margaret Atwood</b>
<b>
</b><b>'Exact and unflinching'</b>
<b><i>Guardian </i></b>
<b><i>
</i></b><b>'She is one of the handful of writers, some living, most dead, whom I have in mind when I say that fiction is my religion'</b>
<b>Jonathan Franzen</b>",kresley cole munro,novella
2,Lives of Girls and Women,"<b>The only novel from bestselling author Alice Munro, winner of the Nobel Prize in Literature</b>
<b>
</b>Catching frogs, grazing knees, singing songs to save England from Hitler - that was childhood for Del Jordan, and now she's impatient for more. 

More than she can find in the encyclopedias sold by her mother, or in the half-understood innuendos dispensed by best friend Naomi, or in the whispers of boys during Friday night dances. 
  
 Just like the girls in the movies, she wants to get started on real life.
  
 In her only novel, Alice Munro turns her eye to the frustrations, embarrassments, glee and bewilderment of adolescence, and to the brushes with sex, death, violence and birth that shape the lives of girls and women.

<b>'I am the perfect audience for her brand of quiet, seething feminism'
Lena Dunham</b>
<b>
</b><b>'Superb'</b>
<b><i>Independent</i></b>
<b><i>
</i></b><b>'In Munro's work, nothing can be predicted. Emotions erupt. Preconceptions crumble. Surprises proliferate'</b>
<b>Margaret Atwood</b>
<b>
</b><b>'Exact and unflinching'</b>
<b><i>Guardian </i></b>
<b><i>
</i></b><b>'She is one of the handful of writers, some living, most dead, whom I have in mind when I say that fiction is my religion'</b>
<b>Jonathan Franzen</b>",shelley munro,book woman
3,The Precipice,"In this powerful collection of interviews, Noam Chomsky exposes the problems of our world today, as we stand in this period of monumental change, preparing for a more hopeful tomorrow. He sheds light into the phenomenon of right-wing populism, and exposes the catastrophic nature and impact of authoritarian policies on people, the environment and the planet as a whole. He captures the dynamics of the brutal class warfare launched by the masters of capital to maintain and even enhance the features of a dog-eat-dog society. And he celebrates the recent unprecedented mobilizations of millions of people internationally against neoliberal capitalism, racism and police violence.",expose,noam chomsky book
3,The Precipice,"In this powerful collection of interviews, Noam Chomsky exposes the problems of our world today, as we stand in this period of monumental change, preparing for a more hopeful tomorrow. He sheds light into the phenomenon of right-wing populism, and exposes the catastrophic nature and impact of authoritarian policies on people, the environment and the planet as a whole. He captures the dynamics of the brutal class warfare launched by the masters of capital to maintain and even enhance the features of a dog-eat-dog society. And he celebrates the recent unprecedented mobilizations of millions of people internationally against neoliberal capitalism, racism and police violence.",expose jaxson,chomsky book
3,The Precipice,"In this powerful collection of interviews, Noam Chomsky exposes the problems of our world today, as we stand in this period of monumental change, preparing for a more hopeful tomorrow. He sheds light into the phenomenon of right-wing populism, and exposes the catastrophic nature and impact of authoritarian policies on people, the environment and the planet as a whole. He captures the dynamics of the brutal class warfare launched by the masters of capital to maintain and even enhance the features of a dog-eat-dog society. And he celebrates the recent unprecedented mobilizations of millions of people internationally against neoliberal capitalism, racism and police violence.",expose edinburgh,horrible history newspaper
3,The Precipice,"In this powerful collection of interviews, Noam Chomsky exposes the problems of our world today, as we stand in this period of monumental change, preparing for a more hopeful tomorrow. He sheds light into the phenomenon of right-wing populism, and exposes the catastrophic nature and impact of authoritarian policies on people, the environment and the planet as a whole. He captures the dynamics of the brutal class warfare launched by the masters of capital to maintain and even enhance the features of a dog-eat-dog society. And he celebrates the recent unprecedented mobilizations of millions of people internationally against neoliberal capitalism, racism and police violence.",expose,political book 2021
3,The Precipice,"In this powerful collection of interviews, Noam Chomsky exposes the problems of our world today, as we stand in this period of monumental change, preparing for a more hopeful tomorrow. He sheds light into the phenomenon of right-wing populism, and exposes the catastrophic nature and impact of authoritarian policies on people, the environment and the planet as a whole. He captures the dynamics of the brutal class warfare launched by the masters of capital to maintain and even enhance the features of a dog-eat-dog society. And he celebrates the recent unprecedented mobilizations of millions of people internationally against neoliberal capitalism, racism and police violence.",expose,chomsky
4,Little Wins,"There are some 400 million people worldwide whose creativity, imagination and determination put the rest of us to shame. They are experts in their field, despite having no experience to speak of. Once, you were one of them too. They are toddlers - and they hold the key to unlocking our creative potential as adults.
 
 In <i>Little Wins: The Huge Power of Thinking Like a Toddler</i>, Ella's Kitchen founder Paul Lindley reveals the nine characteristics and behaviours that we can all learn from recalling our toddler selves. From attention-grabbing tactics that would humble most marketing experts to the art of thinking divergently, Lindley shows how much we've lost in getting old - and how we can get it back. Never mind growing up; it's time we grew down.",montessori toddler,billionaire obsession
4,Little Wins,"There are some 400 million people worldwide whose creativity, imagination and determination put the rest of us to shame. They are experts in their field, despite having no experience to speak of. Once, you were one of them too. They are toddlers - and they hold the key to unlocking our creative potential as adults.
 
 In <i>Little Wins: The Huge Power of Thinking Like a Toddler</i>, Ella's Kitchen founder Paul Lindley reveals the nine characteristics and behaviours that we can all learn from recalling our toddler selves. From attention-grabbing tactics that would humble most marketing experts to the art of thinking divergently, Lindley shows how much we've lost in getting old - and how we can get it back. Never mind growing up; it's time we grew down.",toddler,passionate billionaire
4,Little Wins,"There are some 400 million people worldwide whose creativity, imagination and determination put the rest of us to shame. They are experts in their field, despite having no experience to speak of. Once, you were one of them too. They are toddlers - and they hold the key to unlocking our creative potential as adults.
 
 In <i>Little Wins: The Huge Power of Thinking Like a Toddler</i>, Ella's Kitchen founder Paul Lindley reveals the nine characteristics and behaviours that we can all learn from recalling our toddler selves. From attention-grabbing tactics that would humble most marketing experts to the art of thinking divergently, Lindley shows how much we've lost in getting old - and how we can get it back. Never mind growing up; it's time we grew down.",book toddler,billionaire baby
4,Little Wins,"There are some 400 million people worldwide whose creativity, imagination and determination put the rest of us to shame. They are experts in their field, despite having no experience to speak of. Once, you were one of them too. They are toddlers - and they hold the key to unlocking our creative potential as adults.
 
 In <i>Little Wins: The Huge Power of Thinking Like a Toddler</i>, Ella's Kitchen founder Paul Lindley reveals the nine characteristics and behaviours that we can all learn from recalling our toddler selves. From attention-grabbing tactics that would humble most marketing experts to the art of thinking divergently, Lindley shows how much we've lost in getting old - and how we can get it back. Never mind growing up; it's time we grew down.",toddler book,billionaire baby
4,Little Wins,"There are some 400 million people worldwide whose creativity, imagination and determination put the rest of us to shame. They are experts in their field, despite having no experience to speak of. Once, you were one of them too. They are toddlers - and they hold the key to unlocking our creative potential as adults.
 
 In <i>Little Wins: The Huge Power of Thinking Like a Toddler</i>, Ella's Kitchen founder Paul Lindley reveals the nine characteristics and behaviours that we can all learn from recalling our toddler selves. From attention-grabbing tactics that would humble most marketing experts to the art of thinking divergently, Lindley shows how much we've lost in getting old - and how we can get it back. Never mind growing up; it's time we grew down.",toddler book,billionaire baby
5,Chanel,"By the end of the First World War, Gabrielle 'Coco' Chanel had revolutionised women's dress. But dress was the most visible aspect of more profound changes she helped to bring about. During the course of her extraordinary and unconventional journey - from abject poverty to a new kind of glamour - Chanel would help forge the very idea of modern woman. 

Unearthing an astonishing life, this remarkable biography shows how the most influential designer of her century became synonymous with a rebellious and progressive style. Her numerous liaisons, whose most poignant details have eluded all previous biographers, were the stuff of legend. Witty, strange, mesmerizing, Chanel became muse, patron or mistress to some of the century's most celebrated artists, including Stravinsky, Picasso and Dali.

Highlighting the designer's far-reaching connections with modernism and its artists, this book explores the origins, the creative power, and the secret suffering of this exceptional and often misread woman.",chanel,fashion history book
5,Chanel,"By the end of the First World War, Gabrielle 'Coco' Chanel had revolutionised women's dress. But dress was the most visible aspect of more profound changes she helped to bring about. During the course of her extraordinary and unconventional journey - from abject poverty to a new kind of glamour - Chanel would help forge the very idea of modern woman. 

Unearthing an astonishing life, this remarkable biography shows how the most influential designer of her century became synonymous with a rebellious and progressive style. Her numerous liaisons, whose most poignant details have eluded all previous biographers, were the stuff of legend. Witty, strange, mesmerizing, Chanel became muse, patron or mistress to some of the century's most celebrated artists, including Stravinsky, Picasso and Dali.

Highlighting the designer's far-reaching connections with modernism and its artists, this book explores the origins, the creative power, and the secret suffering of this exceptional and often misread woman.",honey chanel,lingerie war
5,Chanel,"By the end of the First World War, Gabrielle 'Coco' Chanel had revolutionised women's dress. But dress was the most visible aspect of more profound changes she helped to bring about. During the course of her extraordinary and unconventional journey - from abject poverty to a new kind of glamour - Chanel would help forge the very idea of modern woman. 

Unearthing an astonishing life, this remarkable biography shows how the most influential designer of her century became synonymous with a rebellious and progressive style. Her numerous liaisons, whose most poignant details have eluded all previous biographers, were the stuff of legend. Witty, strange, mesmerizing, Chanel became muse, patron or mistress to some of the century's most celebrated artists, including Stravinsky, Picasso and Dali.

Highlighting the designer's far-reaching connections with modernism and its artists, this book explores the origins, the creative power, and the secret suffering of this exceptional and often misread woman.",chanel book,magazine woman
5,Chanel,"By the end of the First World War, Gabrielle 'Coco' Chanel had revolutionised women's dress. But dress was the most visible aspect of more profound changes she helped to bring about. During the course of her extraordinary and unconventional journey - from abject poverty to a new kind of glamour - Chanel would help forge the very idea of modern woman. 

Unearthing an astonishing life, this remarkable biography shows how the most influential designer of her century became synonymous with a rebellious and progressive style. Her numerous liaisons, whose most poignant details have eluded all previous biographers, were the stuff of legend. Witty, strange, mesmerizing, Chanel became muse, patron or mistress to some of the century's most celebrated artists, including Stravinsky, Picasso and Dali.

Highlighting the designer's far-reaching connections with modernism and its artists, this book explores the origins, the creative power, and the secret suffering of this exceptional and often misread woman.",designer knit pattern,fashion book
5,Chanel,"By the end of the First World War, Gabrielle 'Coco' Chanel had revolutionised women's dress. But dress was the most visible aspect of more profound changes she helped to bring about. During the course of her extraordinary and unconventional journey - from abject poverty to a new kind of glamour - Chanel would help forge the very idea of modern woman. 

Unearthing an astonishing life, this remarkable biography shows how the most influential designer of her century became synonymous with a rebellious and progressive style. Her numerous liaisons, whose most poignant details have eluded all previous biographers, were the stuff of legend. Witty, strange, mesmerizing, Chanel became muse, patron or mistress to some of the century's most celebrated artists, including Stravinsky, Picasso and Dali.

Highlighting the designer's far-reaching connections with modernism and its artists, this book explores the origins, the creative power, and the secret suffering of this exceptional and often misread woman.",designer book,fashion book
6,Dot Homme,"<b><i>Any woman who has ever been on a bad date will read this hilarious book and weep with laughter and sympathy for internet dating novice Jess.  Perfect for fans of </i></b><b><i>Jane Fallon, Adele Parks and Candace Bushnell, this is a wonderfully witty and heart-warming rom-com <u>from Sunday Times bestselling author Jane Moore.</u></i></b>
<b><i><u>
</u></i>'Half the fun is that you'll spot yourself and your mates in Jess and her friends and what they get up to - a real tonic' -- <i>Daily Mirror</i> </b>
<b>'Top-notch' -- <i>Company </i></b>
<b>'Jane Moore returns with another fabulously funny read' --<i> Glamour</i></b>
<b>'Laughed all the way through this book' -- ***** Reader review</b>
<b>'A witty and enchanting read' -- ***** Reader review</b>
<b>'Absolutely brilliant' -- ***** Reader review</b>
<b>
*************************************************************************</b>
<b>DO YOU BELIEVE IN LOVE AT FIRST SIGHT?  </b>
 
 <b>Jess Monroe</b> is thirty-four and perfectly happy being single. But her friends think otherwise and, as a birthday present, buy her an ad for an online dating site.
 
 Furious at first, she eventually agrees to try it out - and ventures into a world where the description on the tin rarely matches the contents.
 
 It seems like the string of unsuccessful dates is endless, until one day a catastrophic event brings her life sharply into focus and makes her re-evaluate everything she's ever known ...

<b>What actually is important in life?  </b>",friend dont date,woman fiction
6,Dot Homme,"<b><i>Any woman who has ever been on a bad date will read this hilarious book and weep with laughter and sympathy for internet dating novice Jess.  Perfect for fans of </i></b><b><i>Jane Fallon, Adele Parks and Candace Bushnell, this is a wonderfully witty and heart-warming rom-com <u>from Sunday Times bestselling author Jane Moore.</u></i></b>
<b><i><u>
</u></i>'Half the fun is that you'll spot yourself and your mates in Jess and her friends and what they get up to - a real tonic' -- <i>Daily Mirror</i> </b>
<b>'Top-notch' -- <i>Company </i></b>
<b>'Jane Moore returns with another fabulously funny read' --<i> Glamour</i></b>
<b>'Laughed all the way through this book' -- ***** Reader review</b>
<b>'A witty and enchanting read' -- ***** Reader review</b>
<b>'Absolutely brilliant' -- ***** Reader review</b>
<b>
*************************************************************************</b>
<b>DO YOU BELIEVE IN LOVE AT FIRST SIGHT?  </b>
 
 <b>Jess Monroe</b> is thirty-four and perfectly happy being single. But her friends think otherwise and, as a birthday present, buy her an ad for an online dating site.
 
 Furious at first, she eventually agrees to try it out - and ventures into a world where the description on the tin rarely matches the contents.
 
 It seems like the string of unsuccessful dates is endless, until one day a catastrophic event brings her life sharply into focus and makes her re-evaluate everything she's ever known ...

<b>What actually is important in life?  </b>",date nashville,book woman
6,Dot Homme,"<b><i>Any woman who has ever been on a bad date will read this hilarious book and weep with laughter and sympathy for internet dating novice Jess.  Perfect for fans of </i></b><b><i>Jane Fallon, Adele Parks and Candace Bushnell, this is a wonderfully witty and heart-warming rom-com <u>from Sunday Times bestselling author Jane Moore.</u></i></b>
<b><i><u>
</u></i>'Half the fun is that you'll spot yourself and your mates in Jess and her friends and what they get up to - a real tonic' -- <i>Daily Mirror</i> </b>
<b>'Top-notch' -- <i>Company </i></b>
<b>'Jane Moore returns with another fabulously funny read' --<i> Glamour</i></b>
<b>'Laughed all the way through this book' -- ***** Reader review</b>
<b>'A witty and enchanting read' -- ***** Reader review</b>
<b>'Absolutely brilliant' -- ***** Reader review</b>
<b>
*************************************************************************</b>
<b>DO YOU BELIEVE IN LOVE AT FIRST SIGHT?  </b>
 
 <b>Jess Monroe</b> is thirty-four and perfectly happy being single. But her friends think otherwise and, as a birthday present, buy her an ad for an online dating site.
 
 Furious at first, she eventually agrees to try it out - and ventures into a world where the description on the tin rarely matches the contents.
 
 It seems like the string of unsuccessful dates is endless, until one day a catastrophic event brings her life sharply into focus and makes her re-evaluate everything she's ever known ...

<b>What actually is important in life?  </b>",date doubter,funny woman
6,Dot Homme,"<b><i>Any woman who has ever been on a bad date will read this hilarious book and weep with laughter and sympathy for internet dating novice Jess.  Perfect for fans of </i></b><b><i>Jane Fallon, Adele Parks and Candace Bushnell, this is a wonderfully witty and heart-warming rom-com <u>from Sunday Times bestselling author Jane Moore.</u></i></b>
<b><i><u>
</u></i>'Half the fun is that you'll spot yourself and your mates in Jess and her friends and what they get up to - a real tonic' -- <i>Daily Mirror</i> </b>
<b>'Top-notch' -- <i>Company </i></b>
<b>'Jane Moore returns with another fabulously funny read' --<i> Glamour</i></b>
<b>'Laughed all the way through this book' -- ***** Reader review</b>
<b>'A witty and enchanting read' -- ***** Reader review</b>
<b>'Absolutely brilliant' -- ***** Reader review</b>
<b>
*************************************************************************</b>
<b>DO YOU BELIEVE IN LOVE AT FIRST SIGHT?  </b>
 
 <b>Jess Monroe</b> is thirty-four and perfectly happy being single. But her friends think otherwise and, as a birthday present, buy her an ad for an online dating site.
 
 Furious at first, she eventually agrees to try it out - and ventures into a world where the description on the tin rarely matches the contents.
 
 It seems like the string of unsuccessful dates is endless, until one day a catastrophic event brings her life sharply into focus and makes her re-evaluate everything she's ever known ...

<b>What actually is important in life?  </b>",blind date,intriguing lady
6,Dot Homme,"<b><i>Any woman who has ever been on a bad date will read this hilarious book and weep with laughter and sympathy for internet dating novice Jess.  Perfect for fans of </i></b><b><i>Jane Fallon, Adele Parks and Candace Bushnell, this is a wonderfully witty and heart-warming rom-com <u>from Sunday Times bestselling author Jane Moore.</u></i></b>
<b><i><u>
</u></i>'Half the fun is that you'll spot yourself and your mates in Jess and her friends and what they get up to - a real tonic' -- <i>Daily Mirror</i> </b>
<b>'Top-notch' -- <i>Company </i></b>
<b>'Jane Moore returns with another fabulously funny read' --<i> Glamour</i></b>
<b>'Laughed all the way through this book' -- ***** Reader review</b>
<b>'A witty and enchanting read' -- ***** Reader review</b>
<b>'Absolutely brilliant' -- ***** Reader review</b>
<b>
*************************************************************************</b>
<b>DO YOU BELIEVE IN LOVE AT FIRST SIGHT?  </b>
 
 <b>Jess Monroe</b> is thirty-four and perfectly happy being single. But her friends think otherwise and, as a birthday present, buy her an ad for an online dating site.
 
 Furious at first, she eventually agrees to try it out - and ventures into a world where the description on the tin rarely matches the contents.
 
 It seems like the string of unsuccessful dates is endless, until one day a catastrophic event brings her life sharply into focus and makes her re-evaluate everything she's ever known ...

<b>What actually is important in life?  </b>",expiry date,funny romance
7,Building Jerusalem,"This is a history of the ideas that shaped not only London, but Manchester, Glasgow, Liverpool, Leeds, Birmingham, Sheffield and other power-houses of 19th-century Britain. It charts the controversies and visions that fostered Britain's greatest civic renaissance.

Tristram Hunt explores the horrors of the Victorian city, as seen by Dickens, Engels and Carlyle; the influence of the medieval Gothic ideal of faith, community and order espoused by Pugin and Ruskin; the pride in self-government, identified with the Saxons as opposed to the Normans; the identification with the city republics of the Italian renaissance - commerce, trade and patronage; the change from the civic to the municipal, and greater powers over health, education and housing; and finally at the end of the century, the retreat from the urban to the rural ideal, led by William Morris and the garden-city movement of Ebenezer Howard.",urban mythic,london history
